listing_id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,color,doors
BMW100069,3 Series,2018,28402.13,Semi-Auto,64248,Diesel,150,37.8,1.6,Green,2
BMW100070,3 Series,2020,33204.58,Automatic,49206,Diesel,0,36.4,1.5,White,3
BMW100071,1 Series,2011,16002.38,Automatic,160903,Hybrid,125,45.1,2,Black,5
BMW100072,X3,2005,7626.64,Automatic,224350,Hybrid,20,31.5,2.5,Blue,4
BMW100073,3 Series,2018,33799.37,Automatic,69905,Diesel,150,24.2,3,White,4
BMW100074,4 Series,2022,44005.53,automatic,24148,Diesel,125,46.2,2,Green,3
BMW100075,6 Series,2011,24604.47,Semi-Auto,161925,  Diesel  ,125,29.6,3.5,Black,2
BMW100076,2 Series,2010,16405.59,Automatic,176730,Petrol,0,50.6,2,Green,2
BMW100077,1 Series,2013,22815.29,Semi-Auto,121890,Petrol,30,33.3,2.5,Green,4
BMW100078,X1,2014,20954.31,Manual,136165,Petrol,145,19.6,3,Grey,5
BMW100079,X1,2018,30216.95,Manual,76360,diesel,30,24.8,2,Black,4
BMW100080,X5,2010,32660.34,Semi-Auto,174556,Petrol,20,34.4,2.5,Grey,4
BMW100081,5 Series,2013,20553.12,Automatic,137690,Diesel,125,38.2,2,Grey,5
BMW100082,X2,2014,19895.48,Semi-Auto,115989,Diesel,125,34.1,1.5,White,5
BMW100083,6 Series,2014,22232.56,Automatic,124638,Petrol,150,,2,Black,5
BMW100084,X1,2022,37716.05,Automatic,16312,Diesel,30,,1.5,Black,5
BMW100085,1 Series,2021,38455.28,Manual,37671,Hybrid,205,39.9,3,Green,3
BMW100086,X5,2021,64734.93,Manual,31435,Petrol,125,30.3,3,Silver,2
BMW100087,5 Series,2010,14438.76,MANUAL,165615,Diesel,205,23.1,1.5,Red,4
BMW100088,i3,2006,5262.77,Automatic,226970,Petrol,205,39.5,2.5,Blue,4
BMW100089,X5,2012,28984.72,Manual,141301,Diesel,235,,1.5,Red,3
BMW100090,2 Series,2007,9281.53,Semi-Auto,215574,Diesel,30,37.2,2,Black,5
BMW100091,i3,2017,27785.25,Manual,75788,Petrol,125,26.8,2,Black,4
BMW100092,X1,2011,17826.42,Semi-Auto,161488,Hybrid,0,35,2,Silver,5
BMW100093,i3,2016,28297.08,Automatic,102035,Diesel,150,47.3,1.6,Grey,4
BMW100094,2 Series,2008,18065.86,Automatic,181257,Petrol,125,27.7,3.5,White,3
BMW100095,5 Series,2005,8704.95,Automatic,235574,Petrol,145,26,3.5,Black,5
BMW100096,3 Series,2019,33179.51,automatic,61293,Hybrid,125,33.3,2,Black,5
BMW100097,5 Series,2006,14572.22,automatic,207167,Petrol,125,25.9,4.4,Black,4
BMW100098,X3,2007,14395.16,Manual,197732,Petrol,30,34.1,2.5,Red,4
BMW100099,M5,2022,63299.72,Semi-Auto,46375,Diesel,150,41.9,2,White,5
BMW100100,5 Series,2006,7625.91,Manual,208708,Petrol,145,52.9,2,Black,5
BMW100101,1 Series,2016,30955.78,MANUAL,116748,Diesel,150,37,2.5,Green,2
BMW100102,X5,2020,64329.11,semi-auto,59939,Petrol,145,29,3.5,Grey,4
BMW100103,3 Series,2012,18059.25,Semi-Auto,151815,Hybrid,150,46.9,2,Blue,4
BMW100104,8 Series,2006,15811.36,Automatic,210790,Petrol,30,58.6,2,Silver,5
BMW100105,X5,2008,22571.97,Automatic,192911,Petrol,125,44.1,1.5,Silver,4
BMW100106,M4,2007,15614.61,Manual,210017,Diesel,20,41.9,1.5,Black,2
BMW100107,3 Series,2019,28487.28,Semi-Auto,61039,Diesel,20,41.2,1.5,Black,4
BMW100108, 3 Series ,2022,38635.28,Semi-Auto,35482,Diesel,20,,2,White,4
BMW100109,4 Series,2023,55087.61,Automatic,7057,Electric,145,27.1,2.5,Black,4
BMW100110,1 Series,2017,28817.19,Semi-Auto,89805,Petrol,30,52.4,1.6,White,3
BMW100111,4 Series,2005,6403.45,Automatic,225262,Petrol,0,40.7,2,Grey,4
BMW100112,4 Series,2023,40488.83,Manual,11428,Diesel,150,,2,Grey,5
BMW100113,X1,2010,13598.09,Manual,165218,Petrol,125,35.7,,Black,5
BMW100114,5 Series,2015,32156.07,  Semi-Auto  ,105857,Petrol,150,19.6,4.4,Red,5
BMW100115,3 Series,2014,20062.08,Semi-Auto,114581,Diesel,125,50.1,1.6,Grey,4
BMW100116,1 Series,2018,44687.32,Manual,66290,Electric,150,37.9,2,Red,4
BMW100117,3 Series,2007,8067.88,Automatic,200282,Petrol,150,45.6,1.5,,4
BMW100118,2 Series,2015,22100.12,Automatic,108398,Petrol,150,38.7,1.5,Black,2
BMW100119,1 Series,2015,26585.89,Automatic,117015,Diesel,145,31.1,2,Grey,4
BMW100120,X2,2014,24259.63,automatic,127824,Diesel,150,46.1,3,Green,3
BMW100121,Z4,2009,18921.08,Automatic,182184,Diesel,150,15,3,Grey,5
BMW100122,3 Series,2017,29854.06,Manual,78818,  Diesel  ,0,31.5,2,Grey,4
BMW100123,X3,2018,30452.22,Semi-Auto,73986,Diesel,0,24.5,3.5,Black,3
BMW100124,5 Series,2017,23527.91,Manual,95563,Diesel,145,48.1,1.6,Black,3
BMW100125,7 Series,2012,37843.94,Manual,152631,Petrol,205,43.7,3.5,White,5
BMW100126,M5,2008,30193.97,Semi-Auto,183521,Diesel,30,15.8,3.5,Red,4
BMW100127,X5,2005,10692.85,Automatic,221656,Petrol,145,41.8,1.5,Grey,5
BMW100128,3 Series,2015,28804.56,Semi-Auto,96334,Petrol,205,41.1,3.5,Red,2
BMW100129,3 Series,2005,6785.91,Automatic,225260,Diesel,20,28.1,2.5,Green,5
BMW100130,X5,2021,61181.34,Semi-Auto,13326,Diesel,145,26.3,2.5,Blue,4
BMW100131,4 Series,2010,14715.32,Manual,155175,Petrol,125,35.4,1.5,Black,2
BMW100132,1 Series,2021,38089.12,Semi-Auto,26438,Diesel,145,35.6,2.5,Red,4
BMW100133,1 Series,2019,30047.71,Semi-Auto,65659,Petrol,145,22.3,1.6,Black,5
BMW100134,4 Series,2008,17442.66,Automatic,190826,Diesel,,35,3.5,Grey,4
BMW100135,5 Series,2015,30529.21,Manual,94954,Diesel,125,43.2,2.5,Blue,4
BMW100136,3 Series,2010,12254.71,Automatic,164802,Diesel,150,23.5,1.5,,5
BMW100137,2 Series,2013,21759.35,Manual,130045,Petrol,125,50.5,1.6,Blue,4
BMW100138,M3,2015,45386.19,Manual,115966,Petrol,150,26.5,2.5,Red,4
BMW100139,5 Series,2017,,Manual,86711,Hybrid,145,19.5,2,Blue,4
BMW100140,X3,2023,41671.81,Semi-Auto,4496,Diesel,,31.9,3,Grey,4
BMW100141,X4,2010,14708.71,Semi-Auto,174773,Petrol,125,39.2,1.6,Grey,5
BMW100142,X1,2021,39963.23,Automatic,,Diesel,125,35.2,,Red,5
BMW100143,1 Series,2020,36348.27,Automatic,44379,Hybrid,20,51.4,,Grey,4
BMW100144,X5,2011,29942.98,  Semi-Auto  ,147826,Diesel,150,48.9,1.6,Blue,4
BMW100145,3 Series,2015,29945.18,Manual,99973,Petrol,150,37.3,2.5,Green,4
BMW100146,X5,2019,59783.39,Automatic,58583,Petrol,125,32.2,3,Silver,2
BMW100147,2 Series,2009,13497.5,Manual,184951,Petrol,,40.7,3,Green,5
BMW100148,6 Series,2017,33805.52,Semi-Auto,87952,Hybrid,145,38.3,3,Green,4
BMW100149,X3,2009,17433.53,Semi-Auto,167868,Hybrid,20,,2.5,Green,5
BMW100150,7 Series,2022,69410.08,Automatic,21564,Diesel,145,51.7,3,Green,2
BMW100151,5 Series,2007,4646.93,Manual,219607,Petrol,125,39.4,2,Grey,3
BMW100152,4 Series,2012,19230.4,Automatic,151346,Petrol,125,41.4,2.5,Red,4
BMW100153,4 Series,2016,28705.91,Semi-Auto,110667,Petrol,145,23,3.5,Silver,5
BMW100154,6 Series,2006,6964.14,Semi-Auto,224125,Petrol,150,37.8,3,Red,5
BMW100155,5 Series,2017,31901.04,Semi-Auto,89041,Petrol,125,34.5,2,Grey,3
BMW100156,1 Series,2017,26671.3,Automatic,84868,Petrol,,31.7,,Silver,5
BMW100157,1 Series,2007,13225.97,Automatic,208354,Hybrid,125,25.3,3.5,Silver,4
BMW100158,X3,2007,5960.63,  Manual  ,199526,Diesel,125,27,2,Blue,4
BMW100159,Z4,2020,32393.85,Manual,56518,Petrol,20,40.8,1.6,White,3
BMW100160,X5,2021,58226.18,Semi-Auto,24764,Hybrid,30,45.9,2,White,4
BMW100161,M3,2009,25948.08,Semi-Auto,173302,Hybrid,30,,2,Red,5
BMW100162,1 Series,2012,15791.32,Automatic,147536,Petrol,0,26.3,2,White,2
BMW100163,6 Series,2014,29277.75,Automatic,125465,Diesel,150,28.4,3.5,White,5
BMW100164,7 Series,2019,49139.55,Automatic,52392,Diesel,145,42.7,1.6,White,3
BMW100165,3 Series,2017,26570.8,Automatic,84801,Petrol,20,27.5,2.5,White,2
BMW100166,1 Series,2017,28742.74,Manual,77407,Diesel,145,19.3,2,Grey,2
BMW100167,3 Series,2011,16233.34,Semi-Auto,147227,Petrol,125,28.2,,Silver,2
BMW100168,X5,2019,54946.91,Semi-Auto,61088,Petrol,145,51.7,2,,4
BMW100169,X3,2020,34097.66,Manual,47358,Petrol,150,17.7,2,White,4
BMW100170,Z4,2021,35558.91,Manual,25560,Diesel,20,30.8,1.5,Silver,4
BMW100171,4 Series,2018,30126.65,Semi-Auto,61611,Petrol,30,48.1,,Silver,3
BMW100172,8 Series,2013,46926.95,Semi-Auto,125994,Petrol,20,33.2,3,White,4
BMW100173,3 Series,2017,31116.57,Automatic,70033,Petrol,145,43.6,2,Grey,5
BMW100174,M4,2009,28858.69,Manual,174154,Hybrid,125,28.4,2.5,Silver,4
BMW100175,3 Series,2022,44649.91,Manual,22636,Petrol,150,35.3,3.5,Silver,4
BMW100176,i8,2011,30468.33,Manual,155143,Petrol,125,47.3,2.5,Silver,4
BMW100177,X3,2019,29164.06,Automatic,61698,Petrol,0,40.4,2,Blue,3
BMW100178,3 Series,2027,33834.4,Automatic,84650,Petrol,145,45.4,2.5,Grey,4
BMW100179,7 Series,2018,60156.82,Automatic,74944,Diesel,150,20.8,4.4,Red,5
BMW100180,5 Series,2023,42383.85,Automatic,12443,Petrol,0,22.1,2.5,,4
BMW100181,X3,2015,34115.77,Automatic,111989,Hybrid,20,22.2,3.5,Silver,5
BMW100182,X3,2013,18531.6,Automatic,136745,Diesel,,41.1,1.5,Grey,4
BMW100183, 1 Series ,2006,2237.81,Manual,223565,Petrol,125,,2,White,4
BMW100184,M3,2006,17607.21,Automatic,224819,petrol,145,21.2,1.6,White,4
BMW100185,X7,2009,39494.14,Semi-Auto,183314,Diesel,205,37,4.4,White,5
BMW100186,3 Series,2018,28450.43,Automatic,80729,Diesel,125,39.2,2,Green,2
BMW100187,5 Series,2012,16073.11,Manual,132944,Diesel,30,42.3,1.5,Green,5
BMW100188,3 Series,2015,25282.39,Automatic,98616,Petrol,235,33,2,White,5
BMW100189,i8,2023,59319.64,Manual,13133,Petrol,145,48.8,1.6,Black,4
BMW100190,5 Series,2023,40370.82,Manual,25491,Petrol,0,35.6,1.6,White,4
BMW100191, 3 Series ,2022,38635.28,Semi-Auto,35482,Diesel,20,,2,White,4
BMW100192,5 Series,2023,350000,Semi-Auto,8516,Diesel,145,47,2.5,Green,4
BMW100193,i3,2007,10042.46,Manual,216718,Diesel,145,35.4,1.6,Black,5
BMW100194,X4,2013,24829.13,Automatic,141704,Diesel,235,20.5,3.5,Red,4
BMW100195, 5 Series ,2022,38061.1,Semi-Auto,31474,Petrol,125,40.7,3,,5
BMW100196,X2,2019,35199.38,Automatic,53833,Diesel,150,33.8,3,Red,4
BMW100197, 4 Series ,2018,30811.65,Manual,74324,Diesel,145,29.2,2,White,4
BMW100198, i3 ,2011,22957.37,Semi-Auto,159228,Petrol,125,35.5,3.5,Blue,5
BMW100199, Z4 ,2007,11958.53,Automatic,206835,Electric,125,31.5,2,Black,3
BMW100200,5 Series,2013,24499.36,Automatic,129368,Petrol,125,29.1,3,Silver,5
BMW100201,X3,2023,46898.52,Automatic,6630,Petrol,145,35.9,3.5,Red,4
BMW100202,1 Series,2014,24412.43,Automatic,116457,Petrol,125,41.9,2.5,Black,5
BMW100203,4 Series,2011,21592.94,Manual,152205,Diesel,30,34.9,3,Grey,5
BMW100204,X1,2007,13334.69,Manual,204860,DIESEL,145,15.2,1.5,Blue,5
BMW100205,4 Series,2019,45647.14,Manual,66767,Electric,,31.1,2,,5
BMW100206,X6,2008,23198.29,Manual,200391,Petrol,125,29.1,2.5,Silver,3
BMW100207,1 Series,2008,11185.22,Manual,200080,Petrol,30,27.2,2.5,Green,4
BMW100208,X5,2022,67065.35,Automatic,42846,Petrol,205,36.2,3,Blue,5
BMW100209,X1,2006,7186.94,Manual,213319,Diesel,30,43.1,2.5,Red,5
BMW100210,5 Series,2009,15439.54,Semi-Auto,171598,Diesel,150,38.4,2.5,Blue,4
BMW100211,X5,2020,52557,Manual,45024,Diesel,125,50.8,2,Grey,4
BMW100212,3 Series,2014,26720.54,Manual,124986,Petrol,145,48.3,3,Red,5
BMW100213,3 Series,2016,29630.32,Manual,109500,Diesel,125,33.1,2.5,White,4
BMW100214, X1 ,2013,26062.93,Automatic,136165,Petrol,235,21,3,White,2
BMW100215,X1,2008,8036.14,Semi-Auto,172393,Hybrid,30,34.1,2,Grey,4
BMW100216, X3 ,2013,25787.32,Automatic,134328,DIESEL,125,37,2,Black,2
BMW100217,M3,2014,40579.15,Automatic,114896,Petrol,0,35.2,2,Blue,2
BMW100218,3 Series,2019,36388.59,Semi-Auto,60769,Hybrid,,45.4,2,Green,5
BMW100219,X1,2017,31122.58,Automatic,86739,Diesel,,26.3,2,Green,5
BMW100220,1 Series,2009,8139.52,Automatic,184852,Diesel,145,40.9,2.5,Silver,3
BMW100221,4 Series,2012,25765.6,Semi-Auto,136400,Petrol,20,42.2,2.5,Blue,4
BMW100222,4 Series,2014,35843.91,Semi-Auto,112326,Electric,235,40,3.5,Red,3
BMW100223,3 Series,2008,16911.61,Automatic,182319,Petrol,125,34.3,2,Green,5
BMW100224,X3,2022,44622.97,Manual,27446,Diesel,20,39.1,2.5,White,4
BMW100225,X1,2007,8988.29,Semi-Auto,198812,Diesel,20,40.4,2,Blue,4
BMW100226,5 Series,2019,37192.58,Semi-Auto,59440,Petrol,145,39.6,3,Green,5
BMW100227,X1,2007,8568.05,Automatic,203364,Electric,235,33.2,1.5,Black,5
BMW100228,i8,2015,60943.18,Automatic,121679,Electric,125,42.7,2,Green,4
BMW100229,2 Series,2010,17481.26,manual,171333,Hybrid,145,38.1,3.5,White,4
BMW100230,5 Series,2005,1500,Manual,235398,Petrol,125,28.5,1.5,Red,4
BMW100231,X6,2012,36475,Automatic,141515,Hybrid,30,42.3,1.6,,4
BMW100232,4 Series,2013,23419.22,Semi-Auto,134642,  Diesel  ,125,42.9,2,Red,4
BMW100233,1 Series,2013,22832.01,Semi-Auto,134393,PETROL,150,39,2.5,Grey,5
BMW100234,X2,2010,15102.19,Automatic,168096,Hybrid,145,40.2,2,Red,4
BMW100235,i3,2010,15798.6,Semi-Auto,169735,Diesel,,37.1,2.5,Grey,5
BMW100236,X3,2021,41425.88,Automatic,41205,Petrol,125,29.5,3.5,Red,4
BMW100237,2 Series,2009,7004.71,Manual,179230,Petrol,235,48,1.5,Green,4
BMW100238,1 Series,2013,21917.14,Manual,135214,Petrol,145,27,1.6,Grey,5
BMW100239,1 Series,2005,1500,Automatic,222182,Diesel,205,43.4,2,Blue,4
BMW100240,X5,2005,20003.54,Automatic,223686,Petrol,125,44.8,3,Green,4
BMW100241,1 Series,2012,20935.06,Semi-Auto,153979,DIESEL,0,18.3,,Red,5
BMW100242,4 Series,2006,13256.91,Manual,214186,Diesel,145,36.1,3.5,,5
BMW100243,1 Series,2021,36505.13,Automatic,41087,Diesel,150,38.7,2.5,Silver,5
BMW100244,3 Series,2009,11028.97,Automatic,190031,Diesel,145,33.8,2.5,Grey,4
BMW100245,X4,2020,42586.56,Manual,51124,Diesel,150,37.3,3,Green,5
BMW100246,X2,2005,3019.32,Automatic,228563,Petrol,125,24,2,,4
BMW100247,X2,2013,22002.45,Automatic,133015,petrol,235,46.6,3,Green,4
BMW100248,3 Series,2019,32866.11,Semi-Auto,56384,Hybrid,,37,2.5,Red,4
BMW100249,X4,2015,27098.68,Manual,119905,Hybrid,125,43.4,2,Green,4
BMW100250,X1,2020,39080.51,Automatic,47083,Diesel,150,,3.5,Silver,4
BMW100251,5 Series,2010,13547.74,Automatic,161720,  Petrol  ,145,47.6,2,White,3
BMW100252,Z4,2017,32298.84,Manual,87992,PETROL,,46.3,3.5,White,4
BMW100253,3 Series,2022,61304.63,Semi-Auto,29978,Electric,125,30.7,4.4,Grey,4
BMW100254,X3,2013,19909.87,Manual,147561,petrol,205,52.1,2,Black,4
BMW100255,3 Series,2019,37376.2,Automatic,60521,Petrol,145,40.1,2,Silver,4
BMW100256,6 Series,2013,21117.21,Manual,138661,Petrol,205,40.5,2.5,Silver,4
BMW100257,X5,2008,28748.58,Automatic,188408,Petrol,150,39.7,3.5,Black,4
BMW100258,X2,2014,21496.35,Automatic,105522,Petrol,125,33.3,3.5,Green,3
BMW100259,X5,2014,35999.28,Automatic,126877,Diesel,20,43.2,1.5,Grey,5
BMW100260,M3,2005,12208.41,Automatic,236866,Petrol,0,31.7,2,Grey,4
BMW100261,3 Series,2012,28418.09,Automatic,154863,Electric,150,,3,Blue,4
BMW100262, X3 ,2016,27396.19,Manual,,Petrol,150,24.4,3.5,Green,4
BMW100263,2 Series,2013,28431.54,Manual,129993,Petrol,145,25.7,3.5,Silver,4
BMW100264,X3,2010,,Automatic,164518,Diesel,125,26.4,3,Black,4
BMW100265,X3,2013,23224.28,Manual,148869,  Diesel  ,125,35.9,2,,4
BMW100266,i3,2011,17705.43,Manual,158672,Diesel,20,40.6,2,Green,5
BMW100267,M3,2011,28078.44,Manual,156862,Diesel,30,34,1.6,Black,4
BMW100268,7 Series,2019,54429.47,Semi-Auto,59708,Diesel,150,33.6,2,Black,4
BMW100269,X5,2018,48046.33,Manual,65011,Diesel,30,33.9,2,White,5
BMW100270,i3,2009,16268.33,Semi-Auto,178272,  Diesel  ,125,28.7,3,Grey,5
BMW100271,1 Series,2015,28096.73,Manual,114975,Diesel,150,21.4,3.5,White,5
BMW100272,X2,2022,39394.97,Automatic,17581,Diesel,205,38,3.5,Blue,5
BMW100273,X5,2027,58313.64,Automatic,50460,Diesel,145,36.2,3,Blue,5
BMW100274,4 Series,2018,39605.04,Manual,76414,Petrol,20,37.8,4.4,Green,4
BMW100275,5 Series,2020,37204.37,Semi-Auto,37612,Diesel,150,30.8,2.5,White,5
BMW100276,M3,2005,20802.85,Automatic,232249,Hybrid,20,47.9,3.5,Grey,4
BMW100277,X6,2011,26570.07,Automatic,152940,Hybrid,0,60,2,Green,5
BMW100278,5 Series,2008,10554.77,Manual,200144,Petrol,205,,2,Red,4
BMW100279,X3,2018,40471.67,Semi-Auto,69182,Hybrid,0,30.7,4.4,Blue,4
BMW100280,3 Series,2012,16350.49,Manual,156234,Diesel,125,38.9,2.5,White,5
BMW100281,3 Series,2014,17649.97,Semi-Auto,125914,Petrol,235,40.2,1.5,Blue,5
BMW100282,4 Series,2021,45712.98,Semi-Auto,36188,Electric,145,32.8,1.5,Red,5
BMW100283,X5,2019,67455.5,Manual,59519,Petrol,30,21.6,4.4,Green,2
BMW100284,2 Series,2012,31505.68,Manual,139583,Electric,20,39.3,3,White,5
BMW100285,X1,2016,25224.85,Automatic,107415,Diesel,,33.9,2,Green,4
BMW100286,8 Series,2015,42624.71,Automatic,109017,Diesel,30,55.1,,Red,4
BMW100287,7 Series,2007,21655.08,Automatic,208445,Petrol,20,38.4,2,Red,5
BMW100288,1 Series,2011,16581.9,  Semi-Auto  ,161251,Petrol,205,36.3,2,Red,4
BMW100289,X5,2018,60003.9,Automatic,86024,Petrol,,34.5,3.5,Red,4
BMW100290,2 Series,2021,34984.7,Automatic,23666,Diesel,145,35.8,2.5,Grey,4
BMW100291,X2,2013,28304.43,Automatic,133669,Electric,125,38.9,1.5,Green,4
BMW100292,i8,2010,38838.37,Semi-Auto,169070,Petrol,145,32.1,3,Red,3
BMW100293,X1,2012,15915.03,Manual,132362,Petrol,145,,1.5,Blue,4
BMW100294,2 Series,2022,36180.82,Semi-Auto,32478,Petrol,145,36.6,2.5,Silver,5
BMW100295,1 Series,2013,22745.99,Automatic,135186,Diesel,150,41.2,2,,4
BMW100296,X3,2023,40639.19,Automatic,19011,Diesel,145,24.6,2.5,Silver,3
BMW100297, M4 ,2011,44357.63,Automatic,166211,Petrol,150,21.6,4.4,Grey,2
BMW100298,2 Series,2018,30912.82,Manual,63525,DIESEL,125,32,2,Black,5
BMW100299,3 Series,2021,35147.22,Automatic,41137,Hybrid,20,,2.5,Silver,4
BMW100300,X2,2011,13675,Manual,157502,Hybrid,20,47.3,1.5,Black,2
BMW100301,3 Series,2019,36751.9,Manual,54719,Petrol,125,40,2.5,Silver,3
BMW100302,1 Series,2022,41471.27,Manual,18030,Diesel,150,47.1,2,Silver,4
BMW100303, 1 Series ,2015,24239.58,Automatic,114122,Diesel,145,25,3,Blue,4
BMW100304,X6,2009,32416.15,Semi-Auto,182346,Petrol,125,36.7,3,Silver,4
